IP,Dự Án,Line,Station ID,Tên Trạm
10.239.202.117,4CS4,FVN-E2F3-G02,4CS4_FVN-E2F3-G02_FATP-RUNIN-COMBO-03,FATP-RUNIN-COMBO-
10.239.58.182,4CS4,FVN-N1F-T03,4CS4_FVN-N1F-T03_SMT-BFT-MLB_WT26A-08,SMT-BFT-MLB
10.239.58.186,4CS4,FVN-N1F-T03,4CS4_FVN-N1F-T03_SMT-BFT-MLB_WT26A-04,SMT-BFT-MLB
10.239.58.189,4CS4,FVN-N1F-T03,4CS4_FVN-N1F-T03_SMT-BFT-MLB_WT26A-01,SMT-BFT-MLB
10.239.51.120,4CS4,FVN-N1F-T05,4CS4_FVN-N1F-T05_SMT-CLB_WT26A-01,SMT-CLB
10.239.206.20,4CS4,FVN-E2F3-G02,4CS4_FVN-E2F3-G02_FATP-RF-CELL_BJ26A-01,FATP-RF-CELL
10.239.226.101,4CS4,FVN-E1F3-G03,4CS4_FVN-E1F3-G03_FATP-RF-5GMMW-COMBO_RS26A-01,FATP-RF-5GMMW-COMBO
10.239.202.110,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_SA-AIRLK-TSPK_IN26A-01,SA-AIRLK-TSPK
10.239.51.136,4CS4,FVN-N1F-T02,4CS4_FVN-N1F-T02_SMT-BFT-MLB_WT26A-05,SMT-BFT-MLB
10.239.58.190,4CS4,FVN-N1F-T03,4CS4_FVN-N1F-T03_SMT-FLASH_WT26A-08,SMT-FLASH
10.239.202.86,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-RF-DESENSE_BJ26A-03,FATP-RF-DESENSE
10.239.58.187,4CS4,FVN-N1F-T03,4CS4_FVN-N1F-T03_SMT-BFT-MLB_WT26A-03,SMT-BFT-MLB
10.239.226.107,4CS4,FVN-E1F3-G03,4CS4_FVN-E1F3-G03_FATP-RF-CELL_BJ26A-02,FATP-RF-CELL
10.239.51.118,4CS4,FVN-N1F-T01,4CS4_FVN-N1F-T01_SMT-BFT-MLB_WT26A-03,SMT-BFT-MLB
10.239.202.91,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-RF-WIFIBT_BJ26A-02,FATP-RF-WIFIBT
10.239.206.22,4CS4,FVN-E2F3-G02,4CS4_FVN-E2F3-G02_FATP-RF-CELL_BJ26A-03,FATP-RF-CELL
10.239.205.67,4CS4,FVN-E2F3-C02,4CS4_FVN-E2F3-C02_SA-CG-AIRLK-TRIM_IN26A-02,SA-CG-AIRLK-TRIM
10.239.202.52,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-IMU-6DOF_IN26A-01,FATP-IMU-6DOF
10.239.202.45,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-QT-1M_SF26A-01,FATP-QT-1M
10.239.203.33,4CS4,FVN-E2F3-G02,4CS4_FVN-E2F3-G02_SA-AIRLK-CGTSPK_IN26A-02,SA-AIRLK-CGTSPK
10.239.202.41,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-RUNIN-COMBO-02,FATP-RUNIN-COMBO-
10.239.202.59,4CS4,FVN-E2F3-G02,4CS4_FVN-E2F3-G02_FATP-RUNIN-COMBO-01,FATP-RUNIN-COMBO-
10.239.205.6,4CS4,FVN-E2F3-C02,4CS4_FVN-E2F3-C02_SA-CG-AIRLK-TRIM_IN26A-03,SA-CG-AIRLK-TRIM
10.239.203.74,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-RF-DESENSE_BJ26A-02,FATP-RF-DESENSE
10.239.206.14,4CS4,FVN-E2F3-G02,4CS4_FVN-E2F3-G02_FATP-RF-5GMMW-COMBO_RS26A-03,FATP-RF-5GMMW-COMBO
10.239.202.40,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-THERMAL_IN26A-02,FATP-THERMAL
10.239.202.31,4CS4,FVN-E2F3-G02,4CS4_FVN-E2F3-G02_FATP-IMU-6DOF_IN26A-01,FATP-IMU-6DOF
10.239.203.62,4CS4,FVN-E2F3-G02,4CS4_FVN-E2F3-G02_FATP-RUNIN-COMBO-04,FATP-RUNIN-COMBO-
10.239.202.144,4CS4,FVN-E2F3-G01,4CS4_FVN-E2F3-G01_FATP-RUNIN-COMBO-01,FATP-RUNIN-COMBO-
